,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
2045,30131857,HOME_OWN,8,5,Never,5,5,5,2,2,5,5,3,1,17,1,0,1,2,1,1,5,21,Daily,1,1,1,0,2,1,30.5,30 - 40,4,1,>15 miles,>30,3,8.5,>5,1,0.5
2046,30131901,HOME_OWN,7,2,Never,5,5,4,2,2,5,5,3,2,10,1,0,0,9,1,1,1,21,Daily,1,0,1,0,1,1,65,>60,5,non-work,Not Sure,non-work,1,10,>5,non-work,non-work
2047,30132037,HOME_OWN,7,,,-9,-9,-9,4,5,5,5,5,1,10,1,0,1,2,2,1,1,23,Daily,1,1,1,0,2,1,58,50 - 60,4,0.5,5-10 miles,Oct-20,4,5,4-May,0.5,0
2048,30132120,HOME_OWN,6,5,Never,5,5,5,1,1,3,3,4,1,8,1,0,0.5,10,2,4,6,23,Daily,1,>0.5,1,0,2,1,70.5,>60,5,0,5-10 miles,Oct-20,2,4,3-Apr,0,0.5
2049,30132153,HOME_OWN,8,1,Never,5,5,4,1,1,2,5,5,1,2,1,0,1,2,1,1,5,21,Daily,1,1,1,0,2,1,57.5,50 - 60,3,1,>15 miles,>30,1,1,<=2,1,0.5
2050,30132208,HOME_OWN,6,1,,5,4,4,3,4,5,5,5,2,0,1,0,0,9,2,4,6,23,Rarely,1,0,1,0,1,1,79,>60,4,non-work,Not Sure,non-work,2,0,<=2,non-work,non-work
2051,30132218,HOME_OWN,,2,Never,5,5,5,4,2,3,3,3,1,0,1,0,0.5,10,2,1,2,23,Daily,1,>0.5,1,0,2,1,73.5,>60,4,0,<=5 miles,<=10,2,0,<=2,0.5,0.5
2052,30132245,HOME_OWN,8,3,Never,5,5,1,3,3,3,4,3,2,2,1,0,1,1,1,1,5,21,Daily,1,1,1,0,1,1,58,50 - 60,2,1,>15 miles,>30,1,2,<=2,1,0
2053,30132356,HOME_OWN,9,1,Rarely,4,4,4,2,2,4,2,4,1,8,1,0,0.5,10,2,1,3,22,Daily,1,>0.5,1,0,2,1,68.5,>60,5,0,10 - 15 miles,20 - 30,4,4,3-Apr,0.5,0.5
2054,30132377,HOME_OWN,6,2,Never,5,5,5,1,3,4,5,5,1,12,1,0,1,2,2,1,1,23,Daily,0.5,1,1,0,2,1,37,30 - 40,3,1,5-10 miles,>30,3,6,>5,0.5,0.5
2055,30132449,HOME_OWN,7,3,Rarely,5,5,5,3,5,5,5,5,1,4,1,0,0,10,2,4,6,22,Daily,1,0,1,0,2,1,67.5,>60,3,non-work,Not Sure,non-work,2,2,<=2,non-work,non-work
2056,30132460,HOME_OWN,6,4,Never,5,5,5,4,3,5,5,5,1,12,1,0,0.5,2,2,2,6,24,Daily,0.5,>0.5,1,0,2,1,75.5,>60,3,0,<=5 miles,<=10,4,6,>5,0.5,0
2057,30132521,HOME_OWN,2,3,Never,3,5,5,3,2,5,5,3,2,0,1,0,0,9,1,1,5,21,Daily,0,0,1,0,1,0,81,>60,2,non-work,Not Sure,non-work,3,0,<=2,non-work,non-work
2058,30132577,HOME_OWN,8,2,Rarely,5,4,4,3,3,3,3,3,1,17,0.4,0.4,0.4,4,2,1,3,22,Daily,0.4,<0.5,<0.5,<0.5,>2,1,25.33333333,<=30,5,non-work,Not Sure,non-work,2,5.666666667,>5,non-work,non-work
2059,30132580,HOME_OWN,8,2,Never,5,5,5,2,2,4,4,4,2,4,1,0,0,9,2,2,6,24,Daily,1,0,1,0,1,1,72,>60,4,non-work,Not Sure,non-work,2,4,3-Apr,non-work,non-work
2060,30132763,HOME_OWN,3,2,Never,5,5,5,4,4,4,4,4,2,0,1,0,0,1,2,4,6,24,Never,1,0,1,0,1,1,87,>60,2,non-work,Not Sure,non-work,3,0,<=2,non-work,non-work
2061,30132798,,2,5,Never,5,5,5,3,2,4,4,4,2,3,1,0,1,1,2,4,6,23,Never,1,1,1,0,1,1,59,50 - 60,1,0,5-10 miles,<=10,2,3,2-Mar,1,1
2062,30132848,HOME_OWN,3,5,Never,5,5,5,2,2,5,5,5,2,0,1,0,0,9,2,4,6,24,Never,1,0,1,0,1,1,81,>60,2,non-work,Not Sure,non-work,3,0,<=2,non-work,non-work
2063,30132871,HOME_RENT,3,2,Never,5,2,2,3,3,3,,2,2,2,1,0,0,9,1,1,5,21,Daily,0,0,1,0,1,0,69,>60,1,non-work,Not Sure,non-work,4,2,<=2,non-work,non-work
2064,30132927,HOME_RENT,5,1,Rarely,5,2,4,4,4,5,5,2,2,7,1,0,1,1,2,4,6,23,Daily,1,1,1,0,1,1,61,>60,5,1,5-10 miles,Oct-20,2,7,>5,1,0
2065,30132940,HOME_OWN,7,4,Rarely,-9,-9,-9,4,3,4,4,4,1,13,1,0,1,8,2,2,6,23,Daily,1,1,1,0,>2,1,40.66666667,40 - 50,4,>0.5,5-10 miles,Oct-20,2,4.333333333,4-May,1,<0.5
2066,30133070,HOME_OWN,1,5,Never,5,5,5,2,2,5,5,5,2,0,1,0,0,9,2,4,6,23,Never,1,0,1,0,1,1,70,>60,2,non-work,Not Sure,non-work,4,0,<=2,non-work,non-work
2067,30133142,HOME_OWN,7,3,Rarely,5,5,5,3,3,4,4,4,1,12,1,0,1,2,2,2,6,24,Daily,1,1,1,0,2,1,55,50 - 60,4,0.5,<=5 miles,Oct-20,2,6,>5,0.5,0
2068,30133185,HOME_OWN,8,3,Never,5,4,4,4,2,4,4,3,1,9,0.5,0.5,0.5,4,1,1,5,21,Daily,0.5,>0.5,>0.5,>0.5,>2,1,32.5,30 - 40,5,<0.5,>15 miles,20 - 30,1,4.5,4-May,0,<0.5
2069,30133330,HOME_RENT,7,1,Never,3,3,1,3,1,1,3,2,2,4,1,0,1,1,1,1,5,21,Daily,1,1,1,0,1,0,44,40 - 50,5,1,5-10 miles,>30,1,4,3-Apr,1,0
2070,30133417,HOME_RENT,8,1,Never,4,4,1,2,2,3,5,5,1,12,0.666666667,0.333333333,0.666666667,4,1,1,5,21,Daily,0.666666667,>0.5,>0.5,<0.5,>2,1,35,30 - 40,4,>0.5,5-10 miles,>30,2,6,>5,>0.5,<0.5
2071,30133521,HOME_OWN,2,3,Never,5,5,5,1,1,4,5,5,2,8,1,0,0,9,2,4,6,24,Never,1,0,1,0,1,1,84,>60,5,non-work,Not Sure,non-work,3,8,>5,non-work,non-work
2072,30133526,HOME_RENT,1,4,Rarely,5,5,4,2,3,4,4,5,2,11,1,0,1,1,2,1,1,23,Daily,1,1,1,0,1,1,46,40 - 50,3,1,<=5 miles,<=10,3,11,>5,1,0
2073,30133576,HOME_OWN,8,2,Never,4,5,4,4,2,5,5,5,1,12,1,0,0.5,10,1,1,5,21,Daily,1,>0.5,1,0,2,1,67.5,>60,4,0.5,10 - 15 miles,Oct-20,3,6,>5,0.5,0.5
2074,30133644,HOME_OWN,7,3,Never,5,4,5,3,1,4,4,4,1,1,1,0,0.5,10,1,1,5,21,Daily,1,>0.5,1,0,2,1,65,>60,5,0,<=5 miles,Oct-20,2,0.5,<=2,0.5,0
2075,30133850,HOME_OWN,3,1,Never,5,5,5,3,2,2,3,5,1,7,1,0,0.5,2,2,2,6,24,Daily,1,>0.5,1,0,2,1,65,>60,3,0.5,>15 miles,Oct-20,2,3.5,3-Apr,0,0
2076,30133960,HOME_OWN,6,2,Rarely,5,5,5,1,2,2,3,5,1,0,0.75,0,0.25,6,2,2,6,23,Daily,0.75,<0.5,>0.5,0,>2,1,29.5,<=30,2,<0.5,>15 miles,>30,2,0,<=2,<0.5,<0.5
2077,30133983,HOME_OWN,6,2,Never,5,4,4,1,1,1,3,2,1,4,1,0,0.5,10,1,1,2,21,Daily,1,>0.5,1,0,2,1,61.5,>60,3,0.5,>15 miles,>30,2,2,<=2,0.5,0.5
2078,30134030,HOME_OWN,11,1,Rarely,4,4,4,2,4,5,5,5,1,19,1,0,1,2,2,1,1,23,Daily,1,1,1,0,2,1,58.5,50 - 60,5,0.5,10 - 15 miles,Oct-20,1,9.5,>5,1,0.5
2079,30134181,HOME_RENT,6,1,Rarely,4,1,5,3,4,4,4,1,1,5,1,0,1,2,2,1,1,23,Daily,1,1,1,0,2,1,25.5,<=30,5,0.5,5-10 miles,<=10,2,2.5,2-Mar,0.5,0.5
2080,30134242,HOME_OWN,11,2,Rarely,4,4,4,1,1,2,4,4,1,10,1,0,0.5,10,1,1,5,21,Daily,1,>0.5,1,0,2,1,55,50 - 60,4,0.5,>15 miles,>30,2,5,4-May,0.5,0.5
2081,30134244,HOME_OWN,1,2,Rarely,5,5,5,4,4,3,2,4,1,6,1,0,1,2,2,1,1,23,Daily,1,1,1,0,2,1,45,40 - 50,4,0,Not Sure,non-work,1,3,2-Mar,1,0
2082,30134289,HOME_OWN,7,4,Rarely,5,5,4,3,2,4,4,3,1,23,0.666666667,0,0.666666667,6,2,4,6,24,Daily,0.666666667,>0.5,>0.5,0,>2,1,37,30 - 40,5,>0.5,10 - 15 miles,Oct-20,3,7.666666667,>5,>0.5,<0.5
2083,30134310,HOME_OWN,8,5,Never,5,4,4,4,3,5,5,5,1,9,0.5,0.5,0.25,4,2,4,6,23,Daily,0.5,<0.5,>0.5,>0.5,>2,1,45,40 - 50,5,0,>15 miles,>30,2,4.5,4-May,<0.5,<0.5
2084,30134315,HOME_OWN,5,4,Rarely,5,5,5,2,3,3,3,3,1,12,1,0,0,10,2,2,6,24,Daily,1,0,1,0,2,1,65,>60,3,non-work,Not Sure,non-work,3,6,>5,non-work,non-work
2085,30134329,HOME_OWN,5,5,Never,5,5,5,2,3,5,5,5,1,4,1,0,0,10,2,4,6,23,Daily,1,0,1,0,2,1,67.5,>60,3,non-work,Not Sure,non-work,2,2,<=2,non-work,non-work
2086,30134406,HOME_OWN,10,4,Rarely,4,4,4,5,4,4,4,4,1,22,0.5,0,0.5,6,2,1,1,23,Daily,0.5,>0.5,>0.5,0,>2,1,32.5,30 - 40,5,0.5,5-10 miles,Oct-20,2,5.5,>5,0.5,<0.5
2087,30134490,HOME_OWN,5,5,Never,5,5,5,4,4,5,5,5,1,13,1,0,0,10,2,2,6,24,Daily,1,0,1,0,2,1,84.5,>60,2,non-work,Not Sure,non-work,3,6.5,>5,non-work,non-work
